name,distance,address,zip_code,city,store_id,phone,latitude,longitude
East Windsor Supercenter,47.81,44 Prospect Hill Road,06088,East Windsor,2282,860-292-1235,41.919366,-72.606719
Lanoka Harbor Supercenter,49.84,580 Us Highway 9,08734,Lanoka Harbor,5414,609-242-4231,39.85866,-74.179277
North Kingstown Supercenter,44.07,1031 Ten Rod Rd,02852,North Kingstown,2261,401-294-0025,41.5857963,-71.4913605
Newport Store,45.7,199 Connell Hwy,02840,Newport,2885,401-848-5167,41.5110908,-71.31653
Manchester Supercenter,48.3,420 Buckland Hills Dr,06042,Manchester,1891,860-644-5100,41.806569,-72.537633
Rocky Hill Store,43.95,80 Town Line Rd,06067,Rocky Hill,2900,860-563-4355,41.679131,-72.657462
Hartford Supercenter,48.77,495 Flatbush Avenue,06106,Hartford,5095,860-953-0040,41.739791,-72.713347
Bristol Store,49.8,1400 Farmington Ave,06010,Bristol,2719,860-585-1700,41.697557,-72.897663
Cromwell Supercenter,45.72,161 Berlin Rd,06416,Cromwell,2299,860-635-0458,41.605477,-72.711858
Southington Store,46.47,235 Queen St,06489,Southington,2897,860-621-9540,41.623078,-72.869537
Newington Store,49.62,3164 Berlin Tpke,06111,Newington,2965,860-667-7657,41.663123,-72.718375
Norwich Store,42.46,220 Salem Tpke,06360,Norwich,2170,860-889-7745,41.504713,-72.122585
Westerly Supercenter,42.77,258 Post Rd,02891,Westerly,1964,401-322-0790,41.354317,-71.766743
Lisbon Supercenter,49.84,180 River Rd,06351,Lisbon,2854,860-376-3254,41.583495,-71.98949
Waterford Supercenter,44.64,155 Waterford Parkway No.,06385,Waterford,2331,860-447-3646,41.37055,-72.155068
Groton Store,47.47,150 Gold Star Hwy,06340,Groton,2200,860-448-2022,41.369862,-72.064954
Guilford Store,34.42,900 Boston Post Rd,06437,Guilford,3544,203-458-1252,41.287176,-72.678888
Old Saybrook Store,43.35,665 Boston Post Rd,06475,Old Saybrook,2898,860-388-0584,41.296828,-72.38155
Wallingford Supercenter,45.35,844 N Colony Rd,06492,Wallingford,2371,203-269-6622,41.477509,-72.810515
Avon Store,46.64,255 W Main St,06001,Avon,2899,860-409-0404,41.810565,-72.853767
West Lebanon Store,47.47,285 Plainfield Rd,03784,West Lebanon,2138,603-298-5014,43.6245,-72.322531
Claremont Supercenter,48.74,14 Bowen St,03743,Claremont,1975,603-542-2703,43.378016,-72.328871
Torrington Store,49.03,970 Torringford St,06790,Torrington,2144,860-496-8653,41.8184691,-73.0780037
Hinsdale Supercenter,48.62,724 Brattleboro Rd,03451,Hinsdale,1907,603-336-5538,42.813637,-72.530899
Westfield Supercenter,46.63,141 Springfield Rd,01085,Westfield,2174,413-572-0400,42.1084095,-72.7084495
Rutland Store,18.54,90 Shopping Plz,05701,Rutland,2530,802-773-0200,43.60535,-72.9805387
Watertown Supercenter,38.25,20823 State Route 3,13601,Watertown,1871,315-786-0145,43.976571,-75.958883
Evans Mills Supercenter,42.48,25737 Us Route #11,13637,Evans Mills,5497,315-629-2124,44.040509,-75.844512
Berlin Supercenter,42.55,282 Berlin Mall Rd,05602,Berlin,2682,802-229-7792,44.2161046,-72.5656662
